condition,layer,cv_mean,cv_std,control_cv_mean,control_cv_std
ONLY_ARTIST,5,0.9887340340241397,0.004110236478280845,0.5288150857193064,0.022578918071691816
ONLY_ARTIST,6,0.9887340340241397,0.004110236478280845,0.5248388301319012,0.02220770884605391
ONLY_ARTIST,7,0.9887340340241397,0.004110236478280845,0.5261671773582419,0.021507966111255404
ONLY_ARTIST,8,0.9884029081963253,0.004683224430458804,0.531465190603275,0.02376761384341205
ONLY_ARTIST,9,0.9884029081963253,0.004683224430458804,0.5185490867956026,0.020084244902363095
ONLY_ARTIST,10,0.9884029081963253,0.004683224430458804,0.5202058141961274,0.019414652249902863
ONLY_ARTIST,11,0.9884029081963253,0.004683224430458804,0.5225242441215556,0.01966231134639783
ONLY_ARTIST,12,0.9884029081963253,0.004683224430458804,0.5175518653970765,0.021951691585211153
ONLY_ARTIST,13,0.9887340340241397,0.004110236478280845,0.5185485376648765,0.018535497867588208
ONLY_ARTIST,14,0.9887340340241397,0.004110236478280845,0.5178846386170692,0.019779389518406278
ONLY_ARTIST,15,0.9887340340241397,0.004110236478280845,0.5185485376648765,0.018706475904066867
ONLY_ARTIST,16,0.9887340340241397,0.004110236478280845,0.5245104499577169,0.023441497971283455
ONLY_ARTIST,17,0.9887340340241397,0.004110236478280845,0.5231870449079108,0.019405165560880948
ONLY_ARTIST,18,0.9887340340241397,0.004110236478280845,0.5215264735923034,0.021092364121146227
ONLY_ARTIST,19,0.9887340340241397,0.004110236478280845,0.5294773373749354,0.023312136448549167
ONLY_ARTIST,20,0.9887340340241397,0.004110236478280845,0.5284795668456833,0.024860444257089092
ONLY_ARTIST,21,0.9887340340241397,0.004110236478280845,0.5284850581529439,0.02320207718517083
ONLY_ARTIST,22,0.9887340340241397,0.004110236478280845,0.526828330752419,0.02413221970691455
ONLY_ARTIST,23,0.9887340340241397,0.004110236478280845,0.520535292631764,0.019151695903254756
ONLY_ARTIST,24,0.9884029081963253,0.004683224430458804,0.5258360515304273,0.01994728722170536
